day_of_year,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2022-01-30,0,0.9597798391591688,0,98712.5,100472,97031,94315,96431,92496,0.860461037893617,0.8711590296495957,0.8330596606458676,NA,NA,NA,NA,NA,NA
2022-01-31,0,0.9607520938523896,0,98393,100413,97857,93672.5,96472,92029,0.8640644009783045,0.8782677581198838,0.8236734693877551,NA,NA,NA,NA,NA,NA
2022-02-01,0,0.9607633937919413,0,98725,100843,97563,94077,96682,91427,0.8633993743482794,0.8781192540057788,0.8014827018121911,NA,NA,NA,NA,NA,NA
2022-02-02,0,0.9597334706243441,0,98232,101002,97549,92980,96935,91399,0.8497409326424871,0.8785583703316793,0.7991182143841279,NA,NA,NA,NA,NA,NA
2022-02-03,0,0.9593940355959444,0,98564,100798,97723,94011,96705,91943,0.8377180836333425,0.8766200103680664,0.8302603036876356,NA,NA,NA,NA,NA,NA
2022-02-04,0,0.9588804773599074,0,98546,99231,98436,93958,94490,93226,0.8528497409326425,0.884,0.8270718232044199,NA,NA,NA,NA,NA,NA
2022-02-05,0,0.9511900603762288,0,98853,100490,98197,94497,95375,93168,0.8392577104025092,0.8642375168690958,0.836840737853988,NA,NA,NA,NA,NA,NA
2022-02-06,0,0.9594410126980074,0,98629.5,101827,98164,94462.5,97697,92018,0.866796577339835,0.8727468388485338,0.8157680845299377,NA,NA,NA,NA,NA,NA
2022-02-07,0,0.9573202505137104,0,98550.5,101711,97212,94072.5,97370,90273,0.8624620528543591,0.8717248908296943,0.8194025760482324,NA,NA,NA,NA,NA,NA
2022-02-08,0,0.9581964292783341,0,98365,101599,97080,93455,96999,90380,0.8673972602739726,0.871938775510204,0.7926191131919581,NA,NA,NA,NA,NA,NA
2022-02-09,0,0.9581738492354679,0,97833,101229,96297,91930,96628,90539,0.8556899395272127,0.8730819245773732,0.7690195001373249,NA,NA,NA,NA,NA,NA
