Date,Name,Occupancy rate,G&A beds occ'd,G&A Beds Open,Critical care beds occupancy rate,No. beds occupied by flu patients (Critical Care),No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2021-12-02T00:00:00Z,Alder Hey Children's NHS Foundation Trust,0.9420289855072463,195,207,NA,0,1,1,2021-12-02
2021-12-03T00:00:00Z,Alder Hey Children's NHS Foundation Trust,0.8260869565217391,171,207,NA,0,0,1,2021-12-03
2021-12-04T00:00:00Z,Alder Hey Children's NHS Foundation Trust,0.7874396135265701,163,207,NA,0,0,1,2021-12-04
2021-12-05T00:00:00Z,Alder Hey Children's NHS Foundation Trust,0.8019323671497585,166,207,NA,0,0,1,2021-12-05
2021-11-29T00:00:00Z,Mid Cheshire Hospitals NHS Foundation Trust,0.8296296296296296,448,540,0.8181818181818182,0,267,123,2021-11-29
2021-11-30T00:00:00Z,Mid Cheshire Hospitals NHS Foundation Trust,0.9388888888888889,507,540,1,0,289,133,2021-11-30
2021-12-01T00:00:00Z,Mid Cheshire Hospitals NHS Foundation Trust,0.9314814814814815,503,540,1,0,278,134,2021-12-01
2021-12-02T00:00:00Z,Mid Cheshire Hospitals NHS Foundation Trust,0.9330855018587361,502,538,0.9090909090909091,0,277,134,2021-12-02
2021-12-03T00:00:00Z,Mid Cheshire Hospitals NHS Foundation Trust,0.9275092936802974,499,538,0.9090909090909091,0,280,133,2021-12-03
2021-12-04T00:00:00Z,Mid Cheshire Hospitals NHS Foundation Trust,0.9087523277467412,488,537,0.7272727272727273,0,277,136,2021-12-04
2021-12-05T00:00:00Z,Mid Cheshire Hospitals NHS Foundation Trust,0.9477611940298507,508,536,0.7272727272727273,0,269,134,2021-12-05
2021-11-29T00:00:00Z,The Christie NHS Foundation Trust,0.9433962264150944,150,159,0.375,0,0,0,2021-11-29
2021-11-30T00:00:00Z,The Christie NHS Foundation Trust,0.99375,159,160,0.875,0,0,0,2021-11-30
2021-12-01T00:00:00Z,The Christie NHS Foundation Trust,0.9940476190476191,167,168,0.75,0,0,0,2021-12-01
2021-12-02T00:00:00Z,The Christie NHS Foundation Trust,0.9811320754716981,156,159,0.875,0,0,0,2021-12-02
2021-12-03T00:00:00Z,The Christie NHS Foundation Trust,0.9820359281437125,164,167,0.625,0,0,0,2021-12-03
2021-12-04T00:00:00Z,The Christie NHS Foundation Trust,0.9876543209876543,160,162,0.5,0,0,0,2021-12-04
2021-12-05T00:00:00Z,The Christie NHS Foundation Trust,0.9308176100628931,148,159,0.375,0,0,0,2021-12-05
2021-11-29T00:00:00Z,Northern Devon Healthcare NHS Trust,0.8929765886287625,267,299,0.625,0,129,41,2021-11-29
2021-11-30T00:00:00Z,Northern Devon Healthcare NHS Trust,0.9183006535947712,281,306,0.625,0,133,46,2021-11-30
2021-12-01T00:00:00Z,Northern Devon Healthcare NHS Trust,0.881578947368421,268,304,0.5,0,141,51,2021-12-01
2021-12-02T00:00:00Z,Northern Devon Healthcare NHS Trust,0.902027027027027,267,296,0.625,0,138,52,2021-12-02
2021-12-03T00:00:00Z,Northern Devon Healthcare NHS Trust,0.8651315789473685,263,304,0.5,0,144,50,2021-12-03
2021-12-04T00:00:00Z,Northern Devon Healthcare NHS Trust,0.8585526315789473,261,304,0.625,0,143,49,2021-12-04
2021-12-05T00:00:00Z,Northern Devon Healthcare NHS Trust,0.8704318936877077,262,301,0.625,0,144,49,2021-12-05
2021-11-29T00:00:00Z,Bedfordshire Hospitals NHS Foundation Trust,0.9201557935735151,945,1027,0.8461538461538461,0,421,130,2021-11-29
2021-11-30T00:00:00Z,Bedfordshire Hospitals NHS Foundation Trust,0.9528487229862476,970,1018,0.8846153846153846,0,425,127,2021-11-30
2021-12-01T00:00:00Z,Bedfordshire Hospitals NHS Foundation Trust,0.9278752436647173,952,1026,0.8461538461538461,0,409,122,2021-12-01
2021-12-02T00:00:00Z,Bedfordshire Hospitals NHS Foundation Trust,0.9207920792079208,930,1010,0.9230769230769231,0,408,118,2021-12-02
2021-12-03T00:00:00Z,Bedfordshire Hospitals NHS Foundation Trust,0.9164179104477612,921,1005,0.7692307692307693,0,412,122,2021-12-03
2021-12-04T00:00:00Z,Bedfordshire Hospitals NHS Foundation Trust,0.925,925,1000,0.8076923076923077,0,395,118,2021-12-04
2021-12-05T00:00:00Z,Bedfordshire Hospitals NHS Foundation Trust,0.9318854886475815,944,1013,0.7692307692307693,0,391,125,2021-12-05
2021-11-29T00:00:00Z,York and Scarborough Teaching Hospitals NHS Foundation Trust,0.9035294117647059,768,850,0.6428571428571429,0,368,116,2021-11-29
2021-11-30T00:00:00Z,York and Scarborough Teaching Hospitals NHS Foundation Trust,0.9126984126984127,805,882,0.5714285714285714,0,375,114,2021-11-30
2021-12-01T00:00:00Z,York and Scarborough Teaching Hospitals NHS Foundation Trust,0.9251152073732719,803,868,0.6428571428571429,0,376,118,2021-12-01
2021-12-02T00:00:00Z,York and Scarborough Teaching Hospitals NHS Foundation Trust,0.9105504587155964,794,872,0.7142857142857143,0,376,115,2021-12-02
2021-12-03T00:00:00Z,York and Scarborough Teaching Hospitals NHS Foundation Trust,0.9030023094688222,782,866,0.7142857142857143,0,371,110,2021-12-03
2021-12-04T00:00:00Z,York and Scarborough Teaching Hospitals NHS Foundation Trust,0.9057714958775029,769,849,0.7857142857142857,0,355,108,2021-12-04
2021-12-05T00:00:00Z,York and Scarborough Teaching Hospitals NHS Foundation Trust,0.8930232558139535,768,860,0.6785714285714286,0,357,112,2021-12-05
